text,target_level,quality
Workout di kamar ikut tutorial youtube,Self,Exceptional
Makan salad sayur full tanpa dressing mayones,Self,Exceptional
Journaling nulis apa yang dirasain hari ini,Self,Exceptional
Bangun subuh terus ibadah tepat waktu,Self,Exceptional
Diet gula seminggu ini gak minum boba samsek,Self,Exceptional
Ngerjain tugas jauh sebelum deadline biar gak stress,Self,Exceptional
Belajar bahasa inggris 15 menit di duolingo,Self,Exceptional
Meditasi 10 menit sebelum tidur biar tenang,Self,Exceptional
Rapihin seluruh kamar sampe kinclong banget,Self,Exceptional
Masak makanan sehat sendiri di dapur,Self,Exceptional
Jogging sore rutin setiap hari minggu,Self,Exceptional
Latihan alat musik 1 jam biar makin jago,Self,Exceptional
Review materi pelajaran tadi siang biar nempel,Self,Exceptional
Bikin to-do list biar hari ini produktif,Self,Exceptional
Gak jajan sembarangan demi kesehatan perut,Self,Exceptional
Minum air putih 2 liter sehari target tercapai,Self,Exceptional
Nyelesain satu novel tebel dalam seminggu,Self,Exceptional
Berani presentasi di depan kelas buat ngelatih pede,Self,Exceptional
Ikut ekskul baru buat nambah pengalaman,Self,Exceptional
Nabung buat beli kado ultah diri sendiri nanti,Self,Exceptional
Memaafkan diri sendiri karena nilai ulangan jelek dan janji bangkit lagi,Self,Featured
Self-reward liburan seharian setelah berjuang keras buat ujian,Self,Featured
Ngaca di cermin terus bilang 'aku berharga' pas lagi down banget,Self,Featured
Berhasil nahan diri buat gak ngelakuin bad habit (ngerokok/vape),Self,Featured
Nulis surat cinta untuk diri sendiri di masa depan,Self,Featured
Berani bilang 'TIDAK' ke temen toxic demi kesehatan mental gw,Self,Featured
Nerima kekurangan fisik aku dan mulai sayang sama badan sendiri,Self,Featured
Deep talk sama diri sendiri buat ngurai benang kusut di otak,Self,Featured
Nangis sepuasnya buat melegakan hati abis itu senyum lagi,Self,Featured
Mutusin buat move on dan fokus ke pengembangan diri,Self,Featured
Berhenti ngebandingin diri sendiri sama influencer di Instagram,Self,Featured
Nyisihin uang jajan sebulan buat modal usaha kecil-kecilan sendiri,Self,Featured
Berani jujur ke orang tua tentang perasaan aku yang sebenernya,Self,Featured
Keluar dari circle pertemanan yang bikin aku insecure terus,Self,Featured
Ngambil waktu seharian buat 'date' sama diri sendiri ke museum,Self,Featured
Berjanji sama diri sendiri gak akan nyakitin badan lagi,Self,Featured
Bangkit dari kegagalan lomba dan langsung daftar lomba lain,Self,Featured
Mengapresiasi usaha kecil aku walau orang lain gak liat,Self,Featured
Menyadari kalau istirahat itu bukan berarti malas tapi butuh,Self,Featured
Memeluk diri sendiri secara harfiah pas lagi ngerasa kesepian,Self,Featured
Menulis gratitude journal: 5 hal yang aku syukuri tentang diriku,Self,Featured
Menghapus semua file/chat kenangan yang bikin sakit hati,Self,Featured
Pergi konseling/curhat ke guru BK demi kesehatan mentalku,Self,Featured
Memberi izin ke diri sendiri untuk tidak menjadi sempurna,Self,Featured
Merayakan keberhasilan kecil bisa bangun pagi tanpa alarm,Self,Featured
Pinjemin pulpen ke temen sebangku pas dia lupa bawa,Friend,Standard
Nungguin temen di gerbang sekolah biar pulang bareng,Friend,Standard
Bagi bekel nasi goreng ke temen yang gak bawa uang saku,Friend,Standard
Ngasih tau halaman PR matematika di grup chat kelas,Friend,Standard
Nemenin temen ke toilet pas jam pelajaran,Friend,Standard
Like postingan foto baru temen di Instagram,Friend,Standard
Bantuin temen piket hapus papan tulis,Friend,Standard
Ucapin selamat ulang tahun pas jam 12 malem,Friend,Standard
Minjemin tip-x bentar ke temen belakang,Friend,Standard
Nanyain kabar temen yang gak masuk hari ini,Friend,Standard
Ngasih tau ada guru killer dateng biar temen siap-siap,Friend,Standard
Ngebangunin temen yang ketiduran pas jam kosong,Friend,Standard
Bawain tas temen yang lagi sakit perut ke UKS,Friend,Standard
Traktir temen minum es teh di kantin,Friend,Standard
Ngajak temen baru ngobrol biar gak sendirian,Friend,Standard
Minjemin catatan IPA buat difotocopy temen,Friend,Standard
Ngetag temen di meme lucu biar dia ketawa,Friend,Standard
Bantuin temen nyari barangnya yang ilang di kelas,Friend,Standard
Gak ninggalin temen sendirian pas lagi kerja kelompok,Friend,Standard
Ngasih semangat ke temen yang mau remed ulangan,Friend,Standard
Bagi hotspot/tethering ke temen buat submit tugas,Friend,Standard
Jaga rahasia temen soal siapa crush-nya,Friend,Standard
Dengerin cerita temen soal liburan sekolahnya,Friend,Standard
Bantuin temen beresin buku ke dalam tas pas bel pulang,Friend,Standard
Gak ngetawain temen pas dia salah jawab pertanyaan guru,Friend,Standard
Muji presentasi temen di depan kelas,Friend,Standard
Ingetin temen buat balikin buku perpus biar gak didenda,Friend,Standard
Nebengin temen sampe depan gang rumahnya,Friend,Standard
Ngambilin sendok buat temen pas makan bareng,Friend,Standard
Minjemin jaket ke temen yang kedinginan di kelas ber-AC,Friend,Standard
Bantuin temen ngiket tali sepatunya yang lepas,Friend,Standard
Ngasih tau ada kotoran di baju temen biar dia gak malu,Friend,Standard
Bantuin temen milih baju buat acara pensi,Friend,Standard
Nemenin temen nunggu jemputan ortunya yang telat,Friend,Standard
Bagi permen mint ke temen yang ngantuk,Friend,Standard
Nyisihin tempat duduk buat temen di kantin yang rame,Friend,Standard
Bales chat temen cepet pas dia butuh info,Friend,Standard
Gak spoiler film ke temen yang belum nonton,Friend,Standard
Ngajak temen main game bareng pas weekend,Friend,Standard
Nemenin temen ke koperasi beli dasi,Friend,Standard
Bantuin temen masang poster mading kelas,Friend,Standard
Ngasih tau jawaban soal yang susah pas diskusi kelompok,Friend,Standard
Ingetin temen jangan lupa sholat dzuhur pas istirahat,Friend,Standard
Muji baju baru temen biar dia seneng,Friend,Standard
Bantuin temen bawa tumpukan buku paket ke ruang guru,Friend,Standard
Gak posting aib temen di status WA,Friend,Standard
Ngajak temen sekelompok buat latihan drama sepulang sekolah,Friend,Standard
Minta maaf duluan kalau abis bercanda kelewatan,Friend,Standard
Ngasih kado kecil pas temen ulang tahun,Friend,Standard
Senyum dan nyapa temen pas papasan di lorong,Friend,Standard
Ngajarin temen rumus Fisika sampe dia bener-bener ngerti,Friend,Exceptional
Dateng ke rumah temen yang sakit bawain buah tangan,Friend,Exceptional
Bantuin temen bikin properti drama sampe malem,Friend,Exceptional
Jadi penengah pas ada dua temen circle yang berantem,Friend,Exceptional
Nemenin temen curhat sambil nangis karena masalah keluarga,Friend,Exceptional
Ngebela temen yang lagi diomongin jelek di belakang,Friend,Exceptional
Bantuin temen jualan makanan buat nambah uang sakunya,Friend,Exceptional
Rela gak jajan demi patungan beli kado wali kelas bareng temen,Friend,Exceptional
Ngasih tebengan pulang padahal rumahnya agak muter,Friend,Exceptional
Bantuin temen latihan pidato bahasa Inggris biar lancar,Friend,Exceptional
Hibur temen yang sedih banget karena nilainya jeblok,Friend,Exceptional
Gantiin jadwal piket temen yang lagi ada urusan mendadak,Friend,Exceptional
Ngedit video tugas kelompok sendirian biar temen lain istirahat,Friend,Exceptional
Pinjemin baju seragam cadangan ke temen yang bajunya kotor,Friend,Exceptional
Bantuin temen ngerjain dekorasi kelas buat lomba 17an,Friend,Exceptional
Nemenin temen latihan basket tiap sore biar dia masuk tim inti,Friend,Exceptional
Ngasih catetan lengkap ke temen yang abis sakit seminggu,Friend,Exceptional
Bujuk temen yang lagi ngambek biar mau gabung lagi,Friend,Exceptional
Nganterin temen pulang yang sepedanya ban bocor,Friend,Exceptional
Bantuin temen nyiapin kejutan ultah buat pacarnya,Friend,Exceptional
Jagain barang-barang temen pas dia lagi sholat Jumat,Friend,Exceptional
Masakin bekal khusus buat temen yang lagi ultah,Friend,Exceptional
Ngajak temen pendiam buat gabung main biar gak minder,Friend,Exceptional
Nemenin temen beli kado buat ortunya di mall,Friend,Exceptional
Patungan gantiin barang kelas yang dipecahin temen gak sengaja,Friend,Exceptional
Pasang badan ngelindungin temen yang mau dipalak kakak kelas,Friend,Featured
Jujur negur temen baik yang mulai nyoba ngerokok/vape,Friend,Featured
Nolak ajakan bolos sekelas demi nemenin satu temen yang mau belajar,Friend,Featured
Ngumpulin donasi satu angkatan buat temen yang kena musibah,Friend,Featured
Rela dimusuhin satu geng karena nemenin temen yang dibully,Friend,Featured
Memaafkan temen yang udah ngehianatin kepercayaan aku,Friend,Featured
Nyemangatin temen yang broken home biar gak putus sekolah,Friend,Featured
Bantuin temen difabel naik tangga sekolah setiap hari,Friend,Featured
Ngasih uang jajan sendiri ke temen yang kelaparan gak bawa duit,Friend,Featured
Nemenin temen ke ruang BK buat laporin kasus bullying,Friend,Featured
Belajar bahasa isyarat biar bisa ngobrol sama temen tuli,Friend,Featured
Ngalah gak ikut seleksi OSIS biar sahabat yang kepengen bisa masuk,Friend,Featured
Nyariin beasiswa/info bantuan buat temen yang nunggak SPP,Friend,Featured
Tetep temenan sama dia walaupun dia dijauhin satu sekolah,Friend,Featured
Ngeyakinin temen yang mau bunuh diri kalau dia berharga,Friend,Featured
Ngorbanin waktu weekend buat ngajarin temen baca Quran/Ngaji,Friend,Featured
Berani lapor guru pas liat temen dipukulin geng lain,Friend,Featured
Ngerawat kucing peliharaan temen pas dia lagi mudik lama,Friend,Featured
Bikin surprise video ucapan dari idola buat temen yang lagi sakit keras,Friend,Featured
Ngebantuin temen bangkit dari depresi pelan-pelan,Friend,Featured
Jual barang kesayangan buat bantu biaya berobat orang tua temen,Friend,Featured
Nemenin temen yang hamil di luar nikah dan gak nge-judge,Friend,Featured
Ngasih tumpangan tinggal sementara buat temen yang diusir rumah,Friend,Featured
Ngajarin temen yang buta huruf/kurang lancar baca sampe bisa,Friend,Featured
Mendonorkan darah buat temen yang kecelakaan,Friend,Featured
Nemenin Rizky ke toilet bentar,Friend,Standard
Minjemin pulpen ke Siti karena dia lupa bawa,Friend,Standard
Ngajak Dimas mabar Mobile Legends nanti malem,Friend,Standard
Nungguin Putri di depan gerbang biar pulang bareng,Friend,Standard
Bantuin Farel ngerjain tugas matematika yang susah,Friend,Standard
Ngasih tau Zahra kalau tali sepatunya lepas,Friend,Standard
Traktir Kevin minum es teh di kantin,Friend,Standard
Jenguk Budi yang lagi sakit demam di rumahnya,Friend,Exceptional
Ngajarin Ayu main gitar lagu favoritnya,Friend,Exceptional
Bantuin Ilham beresin buku yang jatoh berantakan,Friend,Standard
Boncengin Raka pulang sekolah karena dia gak dijemput,Friend,Exceptional
Dengerin curhatan Sinta soal masalah di rumahnya,Friend,Exceptional
Ngasih kado ulang tahun jam tangan ke Bayu,Friend,Exceptional
Minta maaf ke Dinda gara-gara gak sengaja ngerusakin bukunya,Friend,Standard
Ngajak Yusuf sholat dzuhur bareng di mushola,Friend,Standard
Bagi bekel nasi goreng ke Tari yang gak bawa uang,Friend,Exceptional
Ngebela Reza pas dia diejek sama kakak kelas,Friend,Featured
Minjemin jaket ke Nadia karena kelas dingin banget,Friend,Standard
Bantuin Aldo bikin properti drama sepulang sekolah,Friend,Exceptional
Ingetin Gilang buat balikin buku perpus besok,Friend,Standard
Nyemangatin Vina yang lagi sedih nilainya jelek,Friend,Exceptional
Nemenin Andre nunggu jemputan sampe sore,Friend,Standard
Ngasih jawaban ke Citra pas kerja kelompok,Friend,Standard
Bantuin Eko ngangkat galon air buat kelas,Friend,Standard
Patungan sama anak-anak beli kue buat Desi,Friend,Standard
Jujur ke Tio kalau rokok itu gak baik buat dia,Friend,Featured
Rela gak jajan demi beliin obat buat Laras,Friend,Featured
Maafin Lukman padahal dia udah bohongin aku,Friend,Featured
Nolak ajakan bolos dari Geng Rian demi nemenin Zaki belajar,Friend,Featured
Bantuin Hana yang kakinya keseleo jalan ke UKS,Friend,Exceptional
Senyum ke adik kelas yang papasan di tangga,Stranger,Standard
Ngangguk sopan pas lewat depan kakak kelas,Stranger,Standard
Geser duduk di kantin biar anak kelas lain bisa duduk,Stranger,Standard
Bilang permisi pas lewat gerombolan kakak kelas,Stranger,Standard
Nahan pintu biar gak ngejepret anak yang mau masuk di belakang,Stranger,Standard
Ngambilin pulpen jatuh punya anak kelas sebelah,Stranger,Standard
Gak nyerobot antrian wudhu walau adik kelas yang antri,Stranger,Standard
Ngasih jalan buat kakak kelas yang bawa tumpukan buku,Stranger,Standard
Minjemin tip-x ke anak kelas lain yang lagi tes di ruanganku,Stranger,Standard
Jawab salam dari adik kelas yang gak aku kenal,Stranger,Standard
Ngasih tau anak kelas 7 kalau dasinya miring,Stranger,Standard
Gak mandang sinis ke anak baru yang lewat,Stranger,Standard
Bantuin neken tombol dispenser buat anak kecil,Stranger,Standard
Ngasih info jam berapa sekarang ke orang yang nanya,Stranger,Standard
Bilang makasih ke kakak OSIS yang jagain gerbang,Stranger,Standard
Mungut sampah jajanan orang lain yang jatuh di koridor,Stranger,Standard
Nunjukin arah toilet ke tamu sekolah yang bingung,Stranger,Standard
Gak sengaja nabrak adik kelas terus minta maaf,Stranger,Standard
Ngasih tau ada barang ketinggalan punya anak kelas 8,Stranger,Standard
Bantuin bapak satpam dorong gerbang sekolah,Stranger,Standard
Senyum ke ibu kantin pas beli gorengan,Stranger,Standard
Ngasih tempat berteduh ke anak kelas lain pas hujan,Stranger,Standard
Gak ngetawain anak kelas lain yang dihukum guru,Stranger,Standard
Ngambilin bola basket yang nyasar ke pinggir lapangan,Stranger,Standard
Negur sopan adik kelas yang lari-larian di perpus,Stranger,Standard
Ngasih tau anak kelas sebelah kalau sepatunya belum diiket,Stranger,Standard
Bantuin ibu pembersih sekolah ngangkat tong sampah,Stranger,Standard
Gak buang sampah sembarangan biar gak ngeberatin petugas,Stranger,Standard
Sabar nunggu giliran cuci tangan di wastafel,Stranger,Standard
Ngembaliin piring kotor sendiri ke ibu kantin,Stranger,Standard
Bilang 'mari pak' pas lewat depan guru piket yang gak ngajar aku,Stranger,Standard
Ngasih tau anak kelas lain kalau kerannya lupa dimatiin,Stranger,Standard
Bantuin anak ekskul lain gelar tikar,Stranger,Standard
Minjemin sandal wudhu ke orang yang mau sholat,Stranger,Standard
Gak berisik pas lewat kelas lain yang lagi ulangan,Stranger,Standard
Nutup pintu kelas orang lain yang kebuka tiup angin,Stranger,Standard
Matiin lampu kamar mandi sekolah setelah dipake orang lain,Stranger,Standard
Rapihin sajadah mushola yang abis dipake orang gak dikenal,Stranger,Standard
Bantuin anak kelas 7 bawa mading kelas yang berat,Stranger,Standard
Ngasih tau anak kelas 9 kalau ada guru killer menuju kelas,Stranger,Standard
Nunjukin letak ruang TU ke wali murid yang nyasar,Stranger,Standard
Senyum ramah ke tamu undangan sekolah,Stranger,Standard
Gak main serobot antrian jajan di koperasi,Stranger,Standard
Bantuin mungut kertas ulangan anak lain yang terbang kena angin,Stranger,Standard
Geser motor di parkiran biar motor orang lain bisa keluar,Stranger,Standard
Nahan lift/pintu biar guru yang bawa barang bisa masuk,Stranger,Standard
Bantuin anak PMR tandu orang pingsan (walau gak kenal),Stranger,Standard
Ngasih tau anak kelas lain kalau resleting tasnya kebuka,Stranger,Standard
Gak ngalangin jalan di koridor sempit pas jam bubar,Stranger,Standard
Bilang 'hati-hati' ke orang yang hampir kepeleset,Stranger,Standard
Nunjukin ruang kelas ke murid baru yang kelihatan bingung,Stranger,Exceptional
Bantuin adik kelas yang jatuh dari sepeda pas pulang sekolah,Stranger,Exceptional
Minjemin payung ke anak kelas lain yang kehujanan sendirian,Stranger,Exceptional
Bantuin kakak kelas beresin dekorasi panggung pensi,Stranger,Exceptional
Nganterin anak nyasar nemuin guru piket,Stranger,Exceptional
Bantuin ibu kantin ngitung uang kembalian pas rame,Stranger,Exceptional
Ngasih minum ke peserta lomba dari sekolah lain yang kehausan,Stranger,Exceptional
Bantuin anak kelas sebelah nyari kontak lensanya yang jatuh,Stranger,Exceptional
Nolongin kucing sekolah yang kejebak di selokan,Junk,Exceptional
Bersihin tumpahan minuman orang lain biar gak ada yang kepeleset,Stranger,Exceptional
Bantuin tukang kebun nyabutin rumput liar pas jam kosong,Stranger,Exceptional
Minjemin kalkulator ke kakak kelas yang lagi ujian fisika,Stranger,Exceptional
Ngajarin anak kelas 7 cara pake dasi yang bener,Stranger,Exceptional
Bantuin anak ekskul tetangga angkat sound system,Stranger,Exceptional
Jelasin materi ke anak kelas lain yang nanya di perpus,Stranger,Exceptional
Bantuin nyebrangin nenek-nenek di depan gerbang sekolah,Stranger,Exceptional
Beli dagangan anak kelas lain buat larisin (support),Stranger,Exceptional
Nemenin anak baru makan di kantin biar gak sendirian,Stranger,Exceptional
Bantuin guru tamu bawa laptop ke ruang multimedia,Stranger,Exceptional
Ngasih tisu ke anak kelas lain yang lagi nangis di taman,Stranger,Exceptional
Bantuin dorong motor anak sekolah lain yang mogok,Stranger,Exceptional
Mungut paku di lapangan biar gak kena sepatu orang,Stranger,Exceptional
Ngasih tempat duduk di angkot buat ibu hamil/lansia,Stranger,Exceptional
Bagi masker cadangan ke orang yang gak bawa,Stranger,Exceptional
Bantuin nyari kunci motor kakak kelas yang ilang di parkiran,Stranger,Exceptional
Balikin dompet yang nemu di kantin ke ruang guru (Jujur),Stranger,Featured
Ngebela adik kelas yang dipalak sama preman sekolah,Stranger,Featured
Berani lapor guru pas liat ada anak kelas lain dibully di WC,Stranger,Featured
Balikin HP mahal yang ketinggalan di bangku taman,Stranger,Featured
Misahin anak sekolah lain yang lagi mau tawuran,Stranger,Featured
Nolongin korban kecelakaan di depan sekolah sampe medis dateng,Stranger,Featured
Ngumpulin donasi buat korban bencana (orang gak dikenal),Stranger,Featured
Donor darah sukarela di sekolah buat stok PMI,Stranger,Featured
Nganterin anak kecil yang nangis kehilangan ortunya pas ambil rapot,Stranger,Featured
Ngelindungin murid baru yang diejek karena logat bicaranya,Stranger,Featured
Jujur ngaku ngerusakin barang sekolah walau gak ada yang liat,Stranger,Featured
Bersihin mushola sekolah sendirian tanpa disuruh guru,Stranger,Featured
Ngasih uang saku sendiri buat pengemis tua di jalan pulang,Stranger,Featured
Bantuin orang buta nyebrang jalan raya yang rame banget,Stranger,Featured
Nolongin anak kelas lain yang asma/pingsan saat upacara,Stranger,Featured
Balikin uang kembalian kantin yang kelebihan (Jujur),Stranger,Featured
Berani negur gerombolan cowok yang catcalling siswi lewat,Stranger,Featured
Mungut pecahan kaca di jalan biar ban orang gak bocor,Stranger,Featured
Bantuin padamkan api kecil di tempat sampah sekolah,Stranger,Featured
Nolak diajak nyoret-nyoret tembok sekolah (Vandalisme),Stranger,Featured
Jaga kebersihan toilet umum sekolah kayak toilet sendiri,Stranger,Featured
Ngasih bekel makan siang ke pemulung yang lewat depan sekolah,Stranger,Featured
Bantuin anak disabilitas dari kelas lain naik tangga,Stranger,Featured
Balikin kartu pelajar orang lain yang ditemuin di jalan,Stranger,Featured
Tetap sopan sama orang yang marah-marah gak jelas (Sabar),Stranger,Featured
Senyum tipis pas papasan sama dia yang sinis,Enemy,Standard
Gak bales sindiran dia di story WA,Enemy,Standard
Biarin aja dia ngomongin aku di belakang,Enemy,Standard
Tetep nyapa sopan walau dia buang muka,Enemy,Standard
Gak ikut-ikutan ngejelekin dia ke orang lain,Enemy,Standard
Nahan diri buat gak ngelabrak balik,Enemy,Standard
Apus chat kasar dia tanpa dibales biar gak ribut,Enemy,Standard
Gak kepancing emosi pas dia nyenggol bahu,Enemy,Standard
Block akun sosmed dia demi ketenangan hati,Enemy,Standard
Bilang 'permisi' pas lewat depan geng dia,Enemy,Standard
Balikin barang dia yang ketinggalan lewat temennya,Enemy,Standard
Gak nyebarin aib dia walau aku tau rahasianya,Enemy,Standard
Diem aja pas dia pamer nilai di depan mukaku,Enemy,Standard
Menghindar biar gak ketemu dia di kantin,Enemy,Standard
Gak dendam walau dia pernah nikung gebetanku,Enemy,Standard
Tetep hormat pas dia jadi pemimpin upacara,Enemy,Standard
Gak ngetawain pas dia dihukum guru di depan kelas,Enemy,Standard
Sabar pas dituduh yang enggak-enggak sama dia,Enemy,Standard
Gak ngerusakin barang dia walau lagi kesel banget,Enemy,Standard
Doain dalam hati semoga dia cepet sadar,Enemy,Standard
Gak ngadu ke guru walau dia gangguin aku dikit,Enemy,Standard
Tetep tenang pas dia teriak-teriak ngeledek nama ortu,Enemy,Standard
Gak ngajak temen lain buat musuhin dia juga,Enemy,Standard
Jaga jarak aman biar gak berantem sama dia,Enemy,Standard
Gak bales tatapan melotot dia,Enemy,Standard
Lupain kata-kata kasar dia tadi pagi,Enemy,Standard
Anggap angin lalu pas dia bisik-bisikin aku,Enemy,Standard
Gak bales nyoret meja dia,Enemy,Standard
Tetep fokus belajar walau dia berisik nyindir,Enemy,Standard
Gak nge-kick dia dari grup kelas,Enemy,Standard
Terima aja pas dia gak mau sekelompok sama aku,Enemy,Standard
Gak ngejek fisik dia balik,Enemy,Standard
Nutup kuping pas dia ngomong kotor,Enemy,Standard
Sabar nunggu dia selesai make wastafel lama banget,Enemy,Standard
"Gak rebutan tempat duduk sama dia, aku ngalah",Enemy,Standard
Tetep bilang makasih pas dia balikin pulpen (dilempar),Enemy,Standard
Gak nyindir balik lewat lagu di story IG,Enemy,Standard
Hapus foto aib dia dari galeri hp,Enemy,Standard
Gak ngambil kesempatan buat jatuhin dia pas dia salah,Enemy,Standard
Biasa aja pas liat dia dapet juara kelas,Enemy,Standard
Gak ngasut temen buat benci sama dia,Enemy,Standard
Milih diem daripada debat gak penting sama dia,Enemy,Standard
Gak nyari masalah sama kakak kelas yang rese,Enemy,Standard
Tetep sopan walau dia nyolot,Enemy,Standard
Sabar pas dia minjem barang gak bilang-bilang,Enemy,Standard
Maafin dia yang ngilangin penghapusku,Enemy,Standard
Gak bales dendam walau ada kesempatan,Enemy,Standard
Senyumin aja pas dia pamer HP baru,Enemy,Standard
Istighfar dalam hati pas liat kelakuan dia,Enemy,Standard
Ngucapin selamat pas dia menang lomba (walau berat hati),Enemy,Exceptional
Minjemin pulpen ke dia pas dia gak bawa alat tulis ujian,Enemy,Exceptional
Ngasih tau materi ulangan ke dia yang gak masuk kemarin,Enemy,Exceptional
Minta maaf duluan padahal aku gak salah-salah amat,Enemy,Exceptional
Ngajak dia salaman duluan pas lebaran/maaf-maafan,Enemy,Exceptional
Bantuin dia piket kelas karena temen piketnya gak ada,Enemy,Exceptional
Ngasih kue ultah potong ke dia pas aku traktir sekelas,Enemy,Exceptional
Nanyain kabar dia pas dia baru sembuh sakit,Enemy,Exceptional
Ngasih contekan PR ke dia biar dia gak dihukum (kasian),Enemy,Exceptional
Nge-like foto dia di IG sebagai tanda damai,Enemy,Exceptional
Ngajak dia masuk kelompokku karena dia gak dapet kelompok,Enemy,Exceptional
Minjemin catetan lengkap ke dia buat difotokopi,Enemy,Exceptional
Ngebukain pintu buat dia yang lagi bawa banyak buku,Enemy,Exceptional
Ngasih tisu ke dia pas dia nangis di pojokan,Enemy,Exceptional
Bilang 'hati-hati' pas dia mau kesandung,Enemy,Exceptional
Bantuin dia nyari kunci motornya yang ilang,Enemy,Exceptional
Nolak diajak orang lain buat ngerjain/prank dia,Enemy,Exceptional
Belain dia pas dia dituduh nyuri padahal enggak,Enemy,Exceptional
Muji hasil gambar dia yang emang bagus,Enemy,Exceptional
Ngasih jawaban soal susah pas dia nanya baik-baik,Enemy,Exceptional
Bantuin dia bersihin tumpahan minumannya,Enemy,Exceptional
Ngasih tumpangan payung pas hujan deres walau canggung,Enemy,Exceptional
Beli dagangan dia buat bantu larisin,Enemy,Exceptional
Follow back akun IG dia,Enemy,Exceptional
Ngajak ngobrol duluan buat cairin suasana,Enemy,Exceptional
Nolongin dia pas jatoh dari motor di parkiran,Enemy,Featured
Nganterin dia pulang ke rumahnya pas dia sakit di sekolah,Enemy,Featured
Ngebela dia mati-matian pas dia dibully geng lain,Enemy,Featured
Bener-bener maafin kesalahan fatal dia di masa lalu,Enemy,Featured
Ngajak damai dan mutusin buat jadi temen biasa,Enemy,Featured
Jujur bilang ke guru kalau ide bagus itu punya dia (bukan aku),Enemy,Featured
Ngasih kado tulus pas dia ulang tahun,Enemy,Featured
Jenguk dia di rumah sakit bawain buah tangan,Enemy,Featured
Ngebantu dia belajar privat biar dia lulus ujian,Enemy,Featured
Nyelamatin dia dari hukuman berat guru BK,Enemy,Featured
Rela dihukum bareng dia demi solidaritas kelas,Enemy,Featured
Ngasih semangat tulus pas dia gagal seleksi,Enemy,Featured
Berani ngaku salah dan minta maaf secara jantan di depan dia,Enemy,Featured
Ngajak dia makan bareng di kantin pas dia sendirian,Enemy,Featured
Bayarin angkot dia pas dompetnya ketinggalan,Enemy,Featured
Ngerjain tugas bareng dia tanpa berantem sama sekali,Enemy,Featured
Klarifikasi ke semua orang kalau rumor jelek tentang dia itu hoax,Enemy,Featured
Meluk dia pas dia lagi down banget masalah keluarga,Enemy,Featured
Ngasih pinjem HP ke dia buat nelpon ortunya,Enemy,Featured
Milih dia jadi ketua kelompok karena dia mampu,Enemy,Featured
Ngasih kesempatan kedua buat dia jadi sahabat lagi,Enemy,Featured
Nolongin dia ngerjain deadline tugas akhir biar kelar,Enemy,Featured
Donorin darah buat dia pas dia butuh urgent,Enemy,Featured
Sholatin jenazah orang tuanya dan ngelayat ke rumahnya,Enemy,Featured
